;;;;;;;;TURBO PC41;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10122-;DISCO DIAMANTADO ;;P€;;;;;;0;;12,94;;;;;;0;;
;;;;;;;;HAMMER TURBO 110 X 120;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10324-;DISCO CORTE TELSTAR  12 X ;;P€;;;;;;0;;;;;;;;0;;
;;;;;;;;1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89135E+12;;;;;;10495-;DISCO CORTE CLASSIC AR ;;P€;;;;;;0;;15,36;;;;27;;414,72;;
;;;;;;;;302  300 X 3.2 X 15.87 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89135E+12;;;;;;10498-;DISCO CORTE CLASSIC AR ;;P€;;;;;;0;;15,36;;;;17;;261,12;;
;;;;;;;;302  300 X 3.2 X 19.05 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10575-;DISCO CORTE BOSCH P/ ;;P€;;;;;;0;;40,24;;;;1;;40,24;;
;;;;;;;;MADEIRA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10576-;DISCO DIAMANTADO SPARTA ;;P€;;;;;;0;;8,82;;;;1;;8,82;;
;;;;;;;;CONTINUO;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10577-;DISCO DIAMANTADO SPARTA ;;P€;;;;;;0;;9,17;;;;1;;9,17;;
;;;;;;;;SEGMENTADO;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10578-;DISCO DIAMANTADO SPARTA ;;P€;;;;;;0;;9,75;;;;-2;;-19,5;;
;;;;;;;;TURBO;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10833-;DISCO CORTE CISER AR 115 X ;;P€;;;;;;0;;1,85;;;;-8;;-14,8;;
;;;;;;;;1.0 X 22 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10834-;DISCO CORTE CISER AR 180 X ;;P€;;;;;;0;;4,14;;;;71;;294,29;;
;;;;;;;;1.9 X 22 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10941-;DISCO CORTE NORTON  AR ;;P€;;;;;;0;;67,93;;;;0;;0;;
